,Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
90,5,Sweden,237.2,156.2,57.0,75.2,73.9,8.4,28.2,18.6,-,2015/2
91,6,Saudi Arabia,228.5,187.4,69.7,60.0,48.2,2.9,35.6,72.9,-,2015/2
92,7,Australia,227.2,158.0,56.6,72.7,89.5,7.9,35.6,23.1,-,2015/2
93,8,Norway,223.0,139.8,69.6,74.6,109.3,7.3,25.0,22.4,-,2015/2
94,9,Netherlands,220.8,150.6,66.7,68.8,74.4,5.4,37.5,34.7,-,2015/2
95,10,United States,220.4,156.5,50.2,67.1,73.4,3.4,35.0,33.3,-,2015/2
96,11,Austria,214.6,135.3,73.7,76.5,68.1,9.4,28.9,32.4,-,2015/2
97,12,Canada,214.2,143.9,61.3,68.9,73.5,5.8,39.1,29.3,-,2015/2
98,13,New Zealand,203.8,118.8,62.0,73.6,79.8,6.8,27.8,19.8,-,2015/2
99,14,South Korea,194.3,138.3,83.1,73.3,77.8,13.9,25.8,51.6,-,2015/2
100,15,United Kingdom,193.4,133.6,57.1,73.7,86.7,8.3,34.4,33.8,-,2015/2
101,16,Japan,191.4,135.8,79.2,80.1,74.3,17.7,47.0,35.0,-,2015/2
102,17,United Arab Emirates,190.9,143.8,76.7,53.9,64.9,6.2,35.3,59.4,-,2015/2
103,18,Ireland,189.0,137.6,51.4,49.7,79.7,8.1,31.8,28.9,-,2015/2
104,19,France,183.5,132.5,52.4,81.0,75.9,9.1,30.5,45.2,-,2015/2
105,20,Spain,178.8,114.8,67.6,74.2,56.6,8.5,28.7,46.2,-,2015/2
106,21,Israel,169.4,133.6,67.9,76.2,77.6,9.6,37.6,64.8,-,2015/2
107,22,Slovenia,168.2,94.6,73.0,53.3,55.6,10.3,22.6,29.9,-,2015/2
108,23,Belgium,161.2,115.2,57.4,75.5,76.7,6.5,30.8,56.1,-,2015/2
109,24,Czech Republic,161.1,98.8,67.7,67.7,42.7,9.9,32.9,42.7,-,2015/2
110,25,Portugal,159.6,87.3,63.7,66.6,50.6,7.9,30.3,32.7,-,2015/2
111,26,Singapore,152.1,117.7,82.9,66.6,88.1,23.9,45.4,38.0,-,2015/2
112,27,South Africa,151.0,142.4,22.1,58.0,43.5,3.2,43.9,65.0,-,2015/2
113,28,Poland,141.8,91.0,67.7,58.4,39.6,9.9,34.0,49.4,-,2015/2
114,29,Italy,139.5,112.6,53.2,66.3,72.4,10.6,36.1,57.4,-,2015/2
115,30,Croatia,138.8,71.4,71.0,59.2,49.8,11.6,32.2,31.3,-,2015/2
116,31,Slovakia,136.7,77.1,67.2,56.8,45.1,8.8,26.1,44.5,-,2015/2
117,32,Greece,130.3,83.2,60.6,56.0,58.9,8.3,30.6,47.6,-,2015/2
118,33,Mexico,125.6,91.4,47.0,69.1,38.1,5.7,33.4,64.9,-,2015/2
119,34,Lithuania,121.6,64.4,57.5,64.9,46.1,12.8,31.4,32.8,-,2015/2
120,35,Chile,117.2,93.8,56.5,63.2,49.2,8.9,40.0,67.9,-,2015/2
121,36,India,115.1,99.3,53.2,66.3,24.8,8.9,45.1,76.9,-,2015/2
122,37,Hungary,113.7,66.3,56.7,50.0,41.8,8.0,30.4,45.7,-,2015/2
123,38,Malaysia,112.2,103.8,30.7,66.8,41.7,8.8,39.4,67.4,-,2015/2
124,39,Turkey,111.8,77.6,62.8,73.5,44.5,6.6,46.9,69.2,-,2015/2
125,40,Romania,107.4,61.2,70.0,48.5,36.9,10.7,33.3,50.1,-,2015/2
126,41,Hong Kong,104.8,111.8,78.1,75.5,75.0,31.5,45.7,67.5,-,2015/2
127,42,Bosnia And Herzegovina,102.3,64.9,55.9,52.5,36.2,11.1,22.4,55.2,-,2015/2
128,43,Bulgaria,93.7,58.7,58.0,55.3,36.1,8.6,31.8,61.0,-,2015/2
129,44,Argentina,92.8,83.6,36.5,74.8,68.2,12.9,43.1,59.6,-,2015/2
130,45,Serbia,80.5,55.9,54.8,54.3,35.4,15.6,25.7,57.5,-,2015/2
131,46,Thailand,68.9,57.3,60.3,80.7,42.7,18.2,44.1,72.1,-,2015/2
132,47,China,61.8,86.9,59.7,58.9,46.8,22.9,42.4,87.9,-,2015/2
133,48,Philippines,60.1,50.3,63.1,73.8,36.1,18.6,46.1,71.9,-,2015/2
134,49,Russia,59.8,62.0,50.7,53.7,44.3,14.8,46.8,70.4,-,2015/2
135,50,Colombia,54.8,50.0,40.1,70.5,35.4,16.5,44.2,63.5,-,2015/2
136,51,Brazil,43.7,56.2,29.8,50.6,46.7,16.8,45.5,59.4,-,2015/2
137,52,Pakistan,37.8,46.4,40.9,56.8,27.8,15.5,33.5,79.4,-,2015/2
138,53,Indonesia,31.8,37.5,53.9,63.7,35.9,20.3,40.6,74.9,-,2015/2
139,54,Iran,25.4,48.8,48.8,48.0,43.1,17.1,45.5,83.5,-,2015/2
140,55,Ukraine,12.4,32.7,50.4,46.2,30.7,24.6,41.2,70.3,-,2015/2
141,56,Egypt,11.3,40.8,40.8,51.7,35.3,11.0,55.5,94.3,-,2015/2
142,57,Venezuela,-40.7,21.5,14.8,36.6,82.8,20.0,39.4,80.3,-,2015/2
143,1,Switzerland,208.5,178.7,74.3,68.9,123.1,8.6,28.7,23.0,70.5,2016
144,2,Denmark,206.5,142.1,74.3,81.9,84.9,5.9,25.6,29.9,70.6,2016
145,3,New Zealand,201.1,115.5,63.6,72.6,78.2,6.3,31.1,19.0,88.4,2016
146,4,Germany,199.7,147.6,67.0,75.8,65.5,7.1,29.1,29.9,63.0,2016
147,5,Australia,198.8,147.3,56.9,73.7,78.5,8.4,34.7,22.9,77.3,2016
148,6,Austria,192.4,120.5,75.9,77.8,66.6,9.5,26.8,30.8,63.8,2016
149,7,Netherlands,192.4,129.3,68.5,70.4,72.1,5.9,35.5,32.8,76.3,2016
150,8,Norway,188.9,125.8,69.9,74.2,99.8,7.4,29.5,18.2,56.3,2016
151,9,Spain,186.4,105.3,68.2,75.9,56.1,8.1,30.5,46.6,90.8,2016
152,10,Sweden,185.8,128.2,56.9,74.3,75.7,11.2,32.0,18.3,61.8,2016
153,11,Finland,184.0,132.9,71.9,74.4,75.2,7.7,32.9,17.8,32.6,2016
154,12,United States,184.0,139.2,51.1,67.8,74.1,3.4,33.4,34.9,67.6,2016
155,13,Portugal,181.2,75.5,64.9,69.0,49.8,8.4,30.6,31.8,91.7,2016
156,14,United Kingdom,180.2,120.0,56.9,74.0,81.0,9.3,35.5,35.0,81.6,2016
157,15,Canada,177.2,134.8,60.8,68.6,64.8,6.1,37.8,29.5,46.2,2016
158,16,Japan,176.1,117.6,80.7,80.4,81.3,20.2,48.4,34.0,79.6,2016
159,17,Slovenia,175.9,89.8,73.7,58.5,52.2,9.7,25.0,28.2,62.5,2016
160,18,France,173.6,118.5,55.9,82.2,75.3,11.9,32.0,46.3,78.3,2016
161,19,Croatia,172.4,67.9,70.5,60.0,48.2,11.9,30.0,30.4,85.6,2016
162,20,Ireland,171.9,125.7,51.6,50.4,78.0,8.5,32.3,30.8,73.1,2016
163,21,South Korea,170.3,120.6,85.7,79.0,73.2,14.9,30.9,49.7,51.3,2016
164,22,Czech Republic,167.4,90.0,67.9,72.3,41.8,10.3,32.5,42.5,63.5,2016
165,23,Israel,166.6,115.5,69.4,76.1,75.7,10.6,37.8,61.5,81.9,2016
166,24,Greece,165.4,79.3,61.5,59.2,54.4,7.4,29.1,47.2,87.1,2016
167,25,Belgium,162.3,106.7,54.8,78.1,75.4,6.6,36.2,56.6,77.0,2016
168,26,Italy,159.3,105.7,53.8,67.8,68.8,10.4,36.5,56.6,86.2,2016
169,27,Saudi Arabia,159.2,167.9,74.8,65.1,47.6,2.8,38.7,72.2,16.8,2016
170,28,South Africa,156.7,126.1,21.6,59.6,34.7,3.3,43.2,63.3,91.4,2016
171,29,Poland,153.6,80.8,68.6,60.0,38.5,11.0,34.5,49.9,64.3,2016
172,30,Chile,147.3,78.4,58.0,61.1,43.9,9.9,33.8,67.2,85.7,2016
173,31,Bosnia And Herzegovina,146.7,60.6,57.5,60.5,34.6,10.9,23.4,57.9,75.3,2016
174,32,Romania,146.1,61.9,70.3,51.4,34.8,10.6,33.3,50.5,67.0,2016
175,33,United Arab Emirates,144.1,136.4,76.9,58.2,66.1,5.4,33.7,59.5,5.9,2016
176,34,Bulgaria,141.6,59.2,58.6,50.9,36.4,8.8,28.7,60.4,77.8,2016
177,35,Hungary,140.7,56.3,58.1,52.1,41.3,9.8,31.8,46.7,66.9,2016
178,36,Argentina,138.5,74.9,36.7,73.7,64.1,12.2,42.4,58.5,91.7,2016
179,37,Serbia,138.3,49.6,56.7,55.9,33.6,16.6,28.4,55.1,83.9,2016
180,38,Turkey,137.3,64.1,60.6,73.0,45.1,8.1,48.1,65.7,74.2,2016
181,39,Mexico,137.0,76.5,49.2,68.1,35.0,6.2,37.1,64.6,58.8,2016
182,40,Lithuania,134.3,61.3,56.8,67.4,45.6,12.9,30.2,30.9,24.4,2016
183,41,Colombia,128.5,46.0,51.5,73.2,29.2,16.3,44.2,64.4,84.5,2016
184,42,North Macedonia,115.0,46.7,62.0,60.0,31.0,15.5,40.7,85.3,80.6,2016
185,43,India,109.3,89.6,53.4,66.5,24.1,10.5,46.0,77.0,19.7,2016
186,44,Hong Kong,108.3,102.3,79.2,74.3,81.5,37.6,46.4,67.2,39.9,2016
187,45,Brazil,101.0,48.7,28.8,51.1,38.9,17.9,46.1,61.2,72.6,2016
188,46,China,99.0,77.4,67.9,61.2,48.1,25.0,44.1,85.5,46.6,2016
189,47,Iran,96.9,47.7,47.6,49.8,41.1,14.8,48.1,84.2,74.6,2016
190,48,Pakistan,94.0,43.3,43.4,61.3,26.7,15.3,36.8,76.6,41.2,2016
191,49,Singapore,93.1,110.5,84.2,69.1,83.7,23.2,43.4,38.8,-66.6,2016
192,50,Egypt,88.8,40.3,43.5,46.6,36.7,10.8,50.8,96.0,79.7,2016
193,51,Russia,88.3,57.4,52.7,54.1,38.5,12.8,49.1,64.5,10.9,2016
194,52,Ukraine,85.6,29.7,51.4,49.7,28.6,26.2,40.0,67.8,50.4,2016
195,53,Indonesia,72.2,35.5,53.0,62.6,36.3,19.5,41.4,75.1,8.0,2016
196,54,Philippines,65.8,42.9,62.4,72.3,34.7,19.2,46.0,73.1,-27.0,2016
197,55,Thailand,63.8,40.1,57.4,80.8,40.0,24.4,43.1,71.5,-23.3,2016
198,56,Malaysia,63.8,96.3,31.4,66.4,37.5,9.1,39.8,67.5,-71.2,2016
199,1,Denmark,201.5,135.2,76.5,78.2,84.4,6.3,28.0,26.8,66.1,2016/2
200,2,Switzerland,196.4,153.9,75.6,69.9,125.7,9.3,27.4,21.7,63.4,2016/2
201,3,Australia,196.4,137.3,58.0,74.1,79.7,7.5,35.8,24.1,80.6,2016/2
202,4,New Zealand,196.1,108.6,62.2,72.2,81.5,6.8,28.5,19.4,86.0,2016/2
203,5,Germany,189.9,136.1,67.3,76.0,66.8,7.2,31.2,27.7,52.0,2016/2
204,6,Austria,187.0,103.5,78.3,78.8,71.8,10.4,29.0,25.4,62.1,2016/2
205,7,Netherlands,186.5,120.1,69.1,69.2,73.0,6.5,33.8,29.1,67.1,2016/2
206,8,Spain,184.7,94.8,67.9,76.6,57.0,8.7,30.8,40.4,89.2,2016/2
207,9,Finland,184.0,123.4,73.5,74.8,74.4,8.0,33.8,14.6,34.8,2016/2
208,10,United States,181.9,130.2,51.3,68.2,73.2,3.4,33.9,32.7,67.4,2016/2
209,11,Portugal,180.7,68.4,65.5,69.8,49.8,8.9,30.1,29.9,93.0,2016/2
210,12,Sweden,177.9,117.3,54.9,74.7,77.6,11.8,31.0,16.6,55.2,2016/2
211,13,United Kingdom,177.7,109.8,57.6,74.3,72.7,9.5,34.3,34.2,78.7,2016/2
212,14,Norway,176.2,115.0,60.6,73.9,104.3,7.7,28.9,19.3,52.3,2016/2
213,15,Canada,172.8,118.1,60.5,68.8,69.1,6.5,37.2,28.2,51.2,2016/2
214,16,Japan,172.7,107.3,80.0,80.2,93.0,13.4,47.4,40.9,81.3,2016/2
215,17,France,172.3,105.4,56.6,80.6,76.9,11.4,33.6,42.0,82.3,2016/2
216,18,Estonia,171.7,72.3,74.1,71.3,50.5,11.0,22.3,19.2,44.6,2016/2
217,19,Ireland,170.8,115.5,53.6,53.4,78.7,7.7,35.6,27.5,72.0,2016/2
218,20,Czech Republic,167.8,82.8,68.7,74.6,41.6,10.6,31.2,42.2,66.3,2016/2
219,21,South Korea,167.5,108.4,85.0,88.4,74.5,13.2,33.3,50.3,49.0,2016/2
220,22,Croatia,167.5,63.9,71.3,61.8,49.4,11.7,29.4,30.7,76.7,2016/2
221,23,Belgium,162.6,99.3,55.1,78.2,76.2,7.1,37.3,50.5,77.3,2016/2
222,24,Israel,160.7,103.8,68.7,75.5,75.2,11.0,38.0,61.9,81.9,2016/2
223,25,Italy,160.2,102.6,55.0,66.6,69.7,10.6,36.9,53.0,86.7,2016/2
224,26,Saudi Arabia,157.0,161.4,74.5,60.9,46.3,2.7,36.6,72.1,18.3,2016/2
225,27,Greece,156.8,67.3,60.6,55.0,55.6,7.9,29.6,49.1,88.3,2016/2
226,28,Slovakia,154.1,67.6,68.8,61.1,45.7,9.6,32.2,44.3,65.1,2016/2
227,29,Taiwan,150.6,113.2,80.5,84.7,57.4,15.5,33.6,64.3,35.7,2016/2
228,30,Poland,150.1,75.3,67.4,60.5,38.4,10.9,34.7,50.8,63.9,2016/2
229,31,South Africa,148.9,111.4,22.5,61.5,37.8,3.3,43.4,64.5,88.0,2016/2
230,32,Romania,144.9,57.1,69.5,53.1,35.7,11.0,32.1,48.7,65.6,2016/2
231,33,Mexico,142.8,66.9,49.6,68.0,33.1,6.6,38.9,66.8,82.5,2016/2
232,34,Bosnia And Herzegovina,142.5,56.2,58.6,60.9,35.1,11.2,23.5,57.3,69.2,2016/2
233,35,United Arab Emirates,141.5,126.2,77.8,59.6,65.7,5.5,33.8,59.6,7.2,2016/2
234,36,Chile,140.7,70.0,52.0,60.3,47.9,10.0,35.7,66.8,88.9,2016/2
235,37,Hungary,140.0,50.7,59.2,52.5,42.3,10.8,31.1,45.5,68.4,2016/2
236,38,Bulgaria,139.7,54.3,58.0,53.4,37.0,9.2,27.5,61.7,78.2,2016/2
237,39,Argentina,137.3,61.3,36.9,74.1,55.3,13.1,39.1,56.1,91.7,2016/2
238,40,Serbia,135.9,44.8,60.1,55.8,34.5,17.6,27.9,55.9,82.7,2016/2
239,41,Qatar,135.6,131.0,79.6,68.9,68.0,5.7,32.0,80.3,9.3,2016/2
240,42,Lithuania,133.4,57.8,58.4,67.6,46.9,12.3,29.2,33.2,24.9,2016/2
241,43,Turkey,129.7,59.9,60.5,71.9,46.7,8.3,49.0,69.2,70.0,2016/2
242,44,Jordan,120.6,46.5,56.0,71.2,55.5,8.6,47.2,83.3,88.6,2016/2
243,45,Colombia,118.5,40.8,49.3,67.5,32.4,18.2,45.0,64.6,81.5,2016/2
244,46,North Macedonia,114.9,42.8,61.5,62.4,32.0,14.9,35.3,85.0,75.5,2016/2
245,47,India,106.3,83.2,55.2,68.4,24.0,10.8,45.1,76.6,14.5,2016/2
246,48,Hong Kong,104.0,91.8,79.7,75.3,78.2,35.0,43.9,67.5,29.8,2016/2
247,49,Iran,97.0,46.7,48.1,50.1,38.2,13.6,49.2,83.6,71.5,2016/2
248,50,Brazil,94.8,46.9,29.4,52.0,49.1,16.6,47.2,61.0,62.4,2016/2
249,51,China,94.6,68.4,68.5,62.2,45.7,25.7,44.7,88.1,48.1,2016/2
250,52,Pakistan,92.3,42.3,43.6,58.6,26.3,12.6,38.8,77.8,38.5,2016/2
251,53,Singapore,88.9,98.0,83.5,70.9,87.8,20.9,42.1,37.7,-71.5,2016/2
252,54,Egypt,88.4,37.1,43.5,46.6,32.6,10.8,51.0,92.8,75.6,2016/2
253,55,Russia,86.5,52.6,52.6,55.4,35.6,13.3,48.4,64.5,9.2,2016/2
254,56,Ukraine,84.1,27.5,50.6,48.1,27.0,25.8,39.5,68.6,50.5,2016/2
255,57,Indonesia,66.4,33.7,50.5,65.4,38.4,18.6,47.3,76.2,4.4,2016/2
256,58,Philippines,60.0,38.4,61.0,68.8,35.3,17.4,44.6,71.6,-37.7,2016/2
257,59,Malaysia,57.4,83.1,34.4,65.8,42.2,9.4,39.3,67.6,-73.7,2016/2
258,60,Thailand,49.5,37.2,47.8,79.8,42.0,24.1,43.4,72.8,-36.9,2016/2
259,61,Vietnam,31.5,24.1,46.5,42.3,39.1,28.9,33.8,88.4,-11.6,2016/2
260,1,Austria,190.4,95.7,80.8,80.9,71.5,9.7,26.3,21.9,62.1,2017
261,2,Germany,189.7,124.9,68.0,76.7,65.5,7.5,30.6,27.1,58.0,2017
262,3,Denmark,184.9,98.8,78.9,75.4,83.0,8.2,28.4,26.0,64.2,2017
263,4,New Zealand,184.7,89.9,61.2,70.6,80.8,8.1,30.2,20.0,85.4,2017
264,5,Spain,183.6,87.9,68.7,76.7,55.0,8.3,32.6,37.5,88.0,2017
265,6,Finland,182.9,115.0,75.4,74.8,73.1,7.6,34.9,13.4,35.8,2017
266,7,United States,179.7,123.2,51.2,68.2,75.4,3.3,34.6,31.2,67.9,2017
267,8,Portugal,178.4,62.7,64.6,70.3,49.2,8.9,30.4,28.9,92.2,2017
268,9,Australia,176.5,101.9,57.6,74.2,80.7,9.2,34.7,24.6,72.8,2017
269,10,Slovenia,175.5,78.2,75.9,64.4,53.2,8.3,26.5,26.4,60.5,2017
270,11,Netherlands,175.2,86.5,70.1,82.5,72.5,8.5,33.9,27.6,61.9,2017
271,12,Switzerland,173.5,95.3,77.6,71.0,122.1,14.0,28.3,20.8,69.3,2017
272,13,United Kingdom,172.9,96.9,58.8,74.3,69.5,10.0,34.6,34.9,78.9,2017
273,14,Sweden,172.7,107.2,53.4,70.6,75.9,11.8,31.6,17.9,59.1,2017
274,15,Estonia,171.1,68.5,77.0,71.3,49.5,10.5,26.7,17.7,44.6,2017
275,16,Croatia,170.6,60.7,72.2,65.5,48.0,10.9,28.5,33.3,82.0,2017
276,17,Canada,167.2,108.0,60.8,69.2,70.2,6.4,36.2,26.5,44.3,2017
277,18,Ireland,166.9,103.5,54.2,53.3,77.0,7.0,35.0,27.2,70.2,2017
278,19,Cyprus,166.6,95.9,67.5,54.2,54.1,5.2,20.3,54.8,71.0,2017
279,20,Norway,165.9,105.6,54.3,74.2,106.3,7.9,31.3,19.5,49.3,2017
280,21,Czech Republic,165.4,76.2,69.8,74.1,41.2,10.7,32.0,41.0,65.3,2017
281,22,South Korea,162.5,102.4,74.7,83.2,75.4,12.4,34.2,52.7,61.2,2017
282,23,Belgium,160.5,91.0,55.5,78.9,75.4,7.0,36.3,48.9,75.2,2017
283,24,France,160.3,87.3,56.3,78.6,74.9,11.6,35.8,40.2,73.9,2017
284,25,Israel,157.9,94.5,71.0,74.8,77.7,10.9,36.5,61.7,81.0,2017
285,26,Slovakia,152.5,64.7,69.8,62.6,44.9,9.9,36.0,43.5,65.1,2017
286,27,Poland,150.2,71.8,68.5,61.5,38.1,10.1,34.6,50.3,62.5,2017
